,,,,,
,,,,,
LB-best,,,,,
,CV(5fold),weight,Public,Private,other
luke-large,0.4795,0.0877,0.467,?,
roberta-large,0.4693,0.1035,0.464,0.469,
gpt2-medium,0.481,0.158,0.469,0.482,
funnel-large-base,0.4706,0.1455,0.461,0.47,
funnel-large,0.4705,0.0267,0.46,0.467,
ernie-large,0.4712,0.093,0.463,0.477,
deberta-large,0.475,0.1693,0.464,0.467,
mpnet-base,0.4782,0.1415,0.466,0.474,
gpt2-large,0.4744,0.1121,0.468,0.48,batch_size=4
coef,-,0.0235,-,,
,,,,,
model,CV(5fold),Public,,,
xlnet-large-cased,0.471,0.473,,,
bert-large-cased,0.4828,0.488,,,
,,,,,
,,,,,
,,,,,
,,,,,
CV-best,,,,,
,CV(5fold),weight,Public,Private,other
electra-large,0.4743,0.0829,0.474,0.479,
funnel-large,0.4752,0.1215,0.467,0.474,
deberta-large(1),0.4738,0.1516,0.47,0.463,
gpt2-medium,0.4775,0.1219,0.471,0.483,
luke-large,0.474,0.0937,0.468,0.465,
deberta-large(2),0.475,0.1179,0.464,0.467,
mpnet-base,0.4782,0.0999,0.466,0.474,
ernie-large,0.4681,0.0792,0.47,0.473,
gpt2-large,0.4744,0.1648,?,?,batch_size=4
coef,-,0.009,-,,
